,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),-84620,-353,-70111,-1235942,3648,-353819,-3581,-127357,19594,71672,109151
1,Annualized Return,2.75%,-100.00%,-4.48%,-12.11%,4.91%,-12.74%,1.21%,0.46%,4.63%,7.41%,9.88%
2,Annualized Volatility,30.83%,35.57%,27.51%,50.30%,32.15%,31.57%,33.99%,36.83%,22.56%,21.62%,23.97%
3,Sharpe Ratio,0.094,-1.100,-0.149,-0.191,0.168,-0.316,0.036,0.012,0.224,0.395,0.498
4,Sortino Ratio,0.126,-1.668,-0.182,-0.293,0.234,-0.412,0.052,0.018,0.343,0.474,0.691
5,Maximum DrawDown,57.45%,90.15%,46.01%,77.44%,40.61%,70.28%,72.18%,51.04%,38.35%,37.52%,25.08%
6,Maximum DrawDown Duration,294 days,1139 days,639 days,428 days,243 days,229 days,526 days,321 days,179 days,21 days,7 days
7,Profitability,37.25%,43.62%,37.04%,44.44%,42.86%,36.99%,44.44%,0.00%,44.44%,42.86%,43.48%
8,Ratio Average Profit/Loss,1.600,0.429,1.054,0.066,1.437,1.289,1.108,0.000,1.994,5.090,2.230
9,Skewness,-0.133,0.713,-0.628,1.703,0.431,-0.104,0.030,0.381,0.548,-0.744,0.955
