,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),423785,1368160,-24606,-20624196,-316446,-171891,-510589,-178235,3367,-220726,-35879
1,Annualized Return,17.21%,5.80%,1.87%,4.92%,-0.95%,-16.60%,0.47%,-0.97%,9.85%,-1.98%,-1.63%
2,Annualized Volatility,30.57%,33.18%,26.98%,45.48%,32.32%,33.26%,33.95%,36.84%,42.50%,20.94%,24.23%
3,Sharpe Ratio,0.782,0.195,0.072,0.119,-0.029,-0.363,0.014,-0.026,0.280,-0.091,-0.065
4,Sortino Ratio,1.109,0.275,0.096,0.146,-0.039,-0.467,0.020,-0.036,0.370,-0.129,-0.089
5,Maximum DrawDown,24.91%,66.30%,54.84%,81.23%,53.43%,83.23%,77.02%,52.56%,76.49%,35.15%,42.97%
6,Maximum DrawDown Duration,161 days,612 days,684 days,612 days,224 days,567 days,619 days,321 days,463 days,502 days,937 days
7,Profitability,52.17%,48.75%,44.93%,47.62%,45.83%,41.51%,44.13%,18.18%,71.43%,42.99%,43.84%
8,Ratio Average Profit/Loss,1.956,1.066,1.179,1.061,1.095,0.978,1.103,0.106,0.793,1.141,1.057
9,Skewness,0.248,-0.020,0.057,-0.810,0.114,-0.292,0.107,0.378,0.153,0.143,0.726
