,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),54154,1852238,-5322,-2445016,-319092,7145,281278,-249636,-247261,-40101,115829
1,Annualized Return,6.38%,12.55%,2.84%,-2.14%,-9.09%,6.87%,13.37%,3.44%,-12.04%,-5.07%,10.30%
2,Annualized Volatility,30.71%,32.68%,25.92%,46.83%,32.01%,31.79%,33.16%,35.39%,22.36%,20.86%,24.11%
3,Sharpe Ratio,0.234,0.488,0.116,-0.044,-0.239,0.246,0.520,0.103,-0.427,-0.220,0.520
4,Sortino Ratio,0.334,0.697,0.167,-0.058,-0.326,0.321,0.778,0.156,-0.593,-0.303,0.642
5,Maximum DrawDown,52.10%,28.75%,61.29%,81.15%,71.43%,38.56%,47.16%,62.70%,55.12%,41.69%,33.37%
6,Maximum DrawDown Duration,89 days,184 days,620 days,305 days,627 days,201 days,148 days,454 days,776 days,590 days,151 days
7,Profitability,50.41%,50.52%,40.23%,45.00%,42.25%,49.33%,41.26%,43.35%,37.93%,36.70%,71.43%
8,Ratio Average Profit/Loss,1.006,1.196,1.477,1.048,0.874,1.103,1.779,1.271,1.098,1.386,1.577
9,Skewness,0.231,0.124,0.515,-0.418,0.445,-0.088,0.350,0.721,-0.230,0.229,0.094
