,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),51756,308526,-62720,110285,-29701,-5588,-2187,-128951,1422,-20054,-46533
1,Annualized Return,14.77%,20.50%,-30.01%,27.43%,-8.17%,2.19%,4.89%,-100.00%,2.68%,-9.66%,-7.18%
2,Annualized Volatility,28.63%,30.37%,23.07%,50.58%,26.64%,25.44%,33.08%,34.69%,22.19%,17.88%,16.87%
3,Sharpe Ratio,0.577,0.788,-1.008,0.665,-0.287,0.088,0.153,-1.428,0.123,-0.498,-0.401
4,Sortino Ratio,0.824,1.199,-1.208,0.916,-0.452,0.130,0.216,-1.865,0.188,-0.665,-0.577
5,Maximum DrawDown,33.74%,38.28%,52.72%,48.18%,40.66%,29.26%,35.04%,76.71%,25.14%,44.63%,35.68%
6,Maximum DrawDown Duration,89 days,43 days,525 days,130 days,335 days,129 days,91 days,659 days,298 days,528 days,451 days
7,Profitability,50.00%,46.88%,30.77%,50.00%,38.57%,43.48%,41.46%,35.23%,42.86%,39.62%,46.51%
8,Ratio Average Profit/Loss,1.444,1.873,0.958,1.324,1.243,1.253,1.399,0.736,1.357,1.013,0.791
9,Skewness,-0.086,0.139,-1.151,0.059,0.674,0.012,-0.391,-0.199,0.203,-0.419,0.039
