,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),-102493,-95698,150899,-603402,9517,-223611,-126089,-133481,-57590,32366,-78281
1,Annualized Return,-16.93%,-100.00%,13.46%,-2.95%,6.05%,-100.00%,-100.00%,0.63%,-15.70%,4.31%,-8.81%
2,Annualized Volatility,31.62%,35.46%,27.50%,51.57%,32.68%,32.06%,42.81%,37.07%,22.96%,22.32%,24.36%
3,Sharpe Ratio,-0.387,-0.864,0.633,-0.054,0.208,-0.854,-0.666,0.017,-0.506,0.210,-0.305
4,Sortino Ratio,-0.536,-1.229,0.895,-0.075,0.269,-1.216,-0.884,0.023,-0.696,0.279,-0.382
5,Maximum DrawDown,63.87%,87.61%,22.78%,78.89%,52.91%,80.50%,88.20%,59.75%,57.28%,46.25%,57.18%
6,Maximum DrawDown Duration,1143 days,1064 days,69 days,728 days,240 days,1148 days,901 days,520 days,1109 days,353 days,241 days
7,Profitability,36.84%,53.52%,56.32%,55.40%,57.72%,48.72%,47.73%,52.90%,54.40%,63.04%,52.29%
8,Ratio Average Profit/Loss,1.045,0.388,1.157,0.702,0.758,0.599,0.347,0.838,0.580,0.667,0.683
9,Skewness,-0.119,0.169,0.413,1.156,-0.021,0.274,0.088,0.148,-0.106,-0.144,0.110
