,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),-239174,888009,-58106,730323,-65033,-30783,21418,-1102188,-55268,-20960,26462
1,Annualized Return,-10.18%,19.16%,-24.99%,14.68%,-15.89%,1.20%,7.64%,-18.20%,-6.50%,-9.27%,5.32%
2,Annualized Volatility,28.92%,31.30%,25.06%,45.12%,28.87%,28.13%,30.53%,33.00%,21.16%,20.29%,21.87%
3,Sharpe Ratio,-0.290,0.881,-0.620,0.430,-0.406,0.044,0.290,-0.387,-0.271,-0.382,0.269
4,Sortino Ratio,-0.408,1.240,-0.795,0.609,-0.569,0.059,0.407,-0.536,-0.399,-0.508,0.374
5,Maximum DrawDown,58.99%,31.18%,67.56%,64.43%,55.43%,33.11%,35.04%,69.14%,51.79%,48.77%,32.23%
6,Maximum DrawDown Duration,557 days,43 days,623 days,339 days,1011 days,129 days,91 days,604 days,816 days,545 days,552 days
7,Profitability,34.44%,43.64%,33.68%,44.44%,49.48%,42.22%,43.24%,37.21%,36.36%,42.37%,50.52%
8,Ratio Average Profit/Loss,1.441,2.302,1.093,1.457,0.698,1.219,1.474,1.068,1.093,0.869,1.108
9,Skewness,0.103,0.092,-0.390,0.086,0.336,-0.093,-0.196,0.063,0.097,0.065,0.767
