,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),42424,-59022,-20505,-133178,-39117,-56079,10619,173936,-7465,32832,-3051
1,Annualized Return,13.32%,-17.21%,-4.00%,-1.50%,-14.34%,-8.59%,4.49%,29.97%,-2.04%,7.35%,0.16%
2,Annualized Volatility,16.06%,18.81%,16.09%,26.61%,17.62%,16.95%,13.03%,26.65%,16.70%,11.45%,13.49%
3,Sharpe Ratio,0.880,-0.833,-0.243,-0.056,-0.753,-0.483,0.351,1.266,-0.120,0.662,0.012
4,Sortino Ratio,1.354,-1.018,-0.292,-0.065,-1.071,-0.707,0.526,1.875,-0.195,1.033,0.016
5,Maximum DrawDown,17.37%,33.90%,27.01%,32.14%,37.34%,29.52%,12.80%,18.34%,26.89%,9.85%,25.15%
6,Maximum DrawDown Duration,88 days,425 days,283 days,124 days,277 days,361 days,71 days,140 days,290 days,64 days,90 days
7,Profitability,76.19%,47.22%,52.63%,58.04%,47.50%,53.76%,66.67%,54.55%,49.43%,68.18%,72.73%
8,Ratio Average Profit/Loss,0.612,0.613,0.654,0.667,0.807,0.677,0.758,1.283,0.941,0.967,0.363
9,Skewness,0.517,-0.671,-0.701,-1.111,0.579,0.502,0.387,0.421,0.863,0.928,0.177
