,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,Performance Indicator
Google,9330.6910875206,14.611762610151114,61.061933977619326,-0.005208614268014,-0.1267267596950953,39.61242830728129,212.0,50.0406834825061,1.026737484709655,-0.1927874621050402,Google
Apple,14823.45820186615,20.698914331047625,79.80432482809114,-0.010251309996488,-0.2351688384582891,31.58951030659373,214.0,50.77298616761595,1.0007209092360794,-0.280326343566075,Apple
IBM,-704.8546435012813,-1.5010289534129084,32.46829752766746,-0.0131159020890938,-0.3022292588819142,31.08420019825422,527.0,50.28478437754272,0.9805039910653294,-0.1421046610839503,IBM
Baidu,-5304.493728935242,-14.480371055290886,69.32613055301148,-0.0358168255213522,-0.7891764885068453,68.366165156056,437.0,49.38974776240846,0.9861604359435584,-0.2495192776895856,Baidu
JPMorgan Chase,1733.0251008300766,3.3622718764581228,48.01918920944921,-0.0107788905104702,-0.258295203361392,40.12812276873797,197.0,50.0406834825061,1.007964461969643,-0.1551052153441007,JPMorgan Chase
BlackRock,1324.7024214477551,2.607478316827528,44.824048779402055,-0.0104937008433491,-0.2541774578626397,38.61794314673721,294.0,50.77298616761595,0.9774746776847912,-0.1446485872096982,BlackRock
ExxonMobil,3343.971510505675,6.150857183818426,45.76267178954852,-0.0061636188992138,-0.1285675925873237,55.970008505008266,551.0,50.36615134255492,1.0184422176076218,-0.4769525001257814,ExxonMobil
Volkswagen,-1670.9318884658803,-3.712453724822995,42.35742519721337,-0.0189035629338841,-0.4510648216508878,48.083193410378,396.0,49.877949552481695,0.9914428039951696,-0.0767934344832245,Volkswagen
Toyota,-472.2758655166617,-0.9960500707779762,31.005521548577644,-0.0117568459062048,-0.2789313502963317,30.447721905243547,190.0,50.61025223759154,0.9711557525779648,-0.1788103125335686,Toyota
Coca Cola,2547.648044780732,4.807927349146657,32.118410504642185,-0.0009727456350387,-0.0229056660730176,30.26722592391432,28.0,50.69161920260375,0.9955651317292876,-0.0670014345666231,Coca Cola
McDonalds,5353.858079574586,9.277664180816746,40.56087391145434,0.0009008311285252,0.0215496506367257,29.2270702731445,24.0,51.01708706265256,0.9931678684543338,-0.0767567514172949,McDonalds
Performance Indicator,Profit & Loss (P&L),Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum DrawDown,Maximum DrawDown Duration,Profitability,Ratio Average Profit/Loss,Skewness,Performance Indicator
