,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),1041,0,7436,-1,-80,-204,-38190,0,-1411,-10825,-240
1,Annualized Return,-100.00%,-100.00%,3.38%,11.84%,3.36%,6.21%,-13.10%,10.01%,4.58%,-4.13%,-22.28%
2,Annualized Volatility,102.45%,113.53%,18.88%,27.71%,34.94%,46.78%,29.42%,42.77%,34.04%,33.84%,43.82%
3,Sharpe Ratio,-0.300,-0.658,0.191,0.536,0.103,0.150,-0.346,0.281,0.147,-0.113,-0.332
4,Sortino Ratio,-0.369,-0.473,0.299,0.630,0.151,0.218,-0.488,0.348,0.199,-0.179,-0.457
5,Maximum DrawDown,-60.61%,-311.12%,25.16%,-141.81%,61.19%,81.67%,68.53%,71.79%,67.54%,57.54%,73.82%
6,Maximum DrawDown Duration,23 days,27 days,308 days,428 days,401 days,416 days,659 days,264 days,463 days,525 days,657 days
7,Profitability,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
8,Ratio Average Profit/Loss,inf,inf,inf,0.000,0.000,0.000,0.000,inf,0.000,0.000,0.000
9,Skewness,-0.125,-4.709,0.969,-0.418,0.522,0.577,0.337,-0.584,0.125,1.466,0.243
