,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds,Performance Indicator
Profit & Loss (P&L),3380.7493423194883,6078.995373390198,2090.156096717834,4332.827624176025,7019.916875076295,4699.166712982178,1106.059632209779,6496.247879882812,994.9496509552008,837.5756806335448,2612.8137413024906,Profit & Loss (P&L)
Annualized Return,15.652148639453143,26.7617934831031,9.940971692211487,19.69031466819726,30.412957433058292,21.20818009423049,5.377729698546796,28.393753896547125,4.85000282839223,4.097950285548735,12.288954013179287,Annualized Return
Annualized Volatility,43.748309496530666,40.8593617862952,27.966397660030747,32.91169845751842,35.40034095919018,33.07656289723035,17.88719904168205,48.37745394802893,24.88209403092511,23.939481275229056,35.654951637417206,Annualized Volatility
Sharpe Ratio,0.0078201230889288,0.0247346122661579,0.0131789382376564,0.0250124497037037,0.0374117357419603,0.0272173495839968,0.0133320318669882,0.0183024737915059,0.0045057660260392,0.0033363186976993,0.009865804959749,Sharpe Ratio
Sortino Ratio,0.1824487730185125,0.5810243517921652,0.303025005782564,0.62272656043522,0.9366590451258808,0.6764633632137071,0.3602835582948658,0.4370701558008941,0.1159627343642258,0.0888242415817086,0.2287518811778265,Sortino Ratio
Maximum DrawDown,14.155889357001945,18.061458277201965,23.219167238294304,15.052463629643716,12.580737757923131,10.20739535373546,19.558365395158223,21.869543216264734,18.45772261524185,14.328095806301013,15.48412289536626,Maximum DrawDown
Maximum DrawDown Duration,24,22,118,34,65,4,295,154,140,174,120,Maximum DrawDown Duration
Profitability,52.84552845528455,50.8130081300813,53.04878048780488,54.67479674796748,52.235772357723576,52.84552845528455,51.6260162601626,53.65853658536585,50.8130081300813,53.2520325203252,51.21951219512195,Profitability
Ratio Average Profit/Loss,0.9440105907454072,1.0656553993913498,0.9334151671230242,0.9086082483998226,1.0294890534023942,0.9806682090460376,0.9806539536451844,0.9425260956194186,0.9999719288460668,0.9019247164949048,1.0070945509517144,Ratio Average Profit/Loss
Skewness,-0.2921811668251279,-0.1737187210786345,-0.3672564548694376,-0.1392349914141999,-0.0813216069562545,0.0644969321447112,0.0749188112408383,-0.3459616880671587,-0.0780089671892058,-0.0219084014703329,-0.2671614517742497,Skewness
