,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds,Performance Indicator
Profit & Loss (P&L),10026.599930088045,15364.227207424165,-887.6947237396234,-5282.533742019654,339.02951684570326,-362.6741787414503,3657.2216197052,-2002.4647285690296,-381.2706709365848,2403.969389465332,4924.080032073976,Profit & Loss (P&L)
Annualized Return,15.453576258071022,21.23833518942435,-1.9050981023801536,-14.397766152811595,0.6922623337526579,-0.761463669071849,6.661736753916658,-4.5183164469573045,-0.8011171843940179,4.558468217433087,8.637593733412462,Annualized Return
Annualized Volatility,70.62113418912529,91.11956556984956,29.784758502415293,54.7831454447652,47.13818321315456,46.933367574806496,49.62337480082134,42.81087524666662,28.52810495963269,32.49227517211387,51.90488578485547,Annualized Volatility
Sharpe Ratio,-0.0095192569898634,-0.0153251017943235,-0.0133804167604831,-0.0349084648949774,-0.0138980136516735,-0.0157798776676651,-0.007443837446762,-0.0201985171592802,-0.0107488340499671,-0.0016470539981066,-0.0062980307258485,Sharpe Ratio
Sortino Ratio,-0.2412362282729273,-0.3521967095204219,-0.3092190884774128,-0.823628419316535,-0.3410427155360757,-0.3691026137433391,-0.1497123833837519,-0.4741535253988206,-0.2525014306914693,-0.0391242968305964,-0.1438657818641137,Sortino Ratio
Maximum DrawDown,44.092504987046944,30.23380179136011,38.5799153809923,69.22817405252344,37.57573924731316,43.212244039947166,56.37176939940434,49.82089693641849,31.274344062558,26.2747090893962,30.47615911279862,Maximum DrawDown
Maximum DrawDown Duration,203,218,528,438,243,242,379,395,179,27,144,Maximum DrawDown Duration
Profitability,49.959316517493896,51.26118795768918,49.959316517493896,49.22701383238405,49.959316517493896,51.74938974776241,53.13262815296989,49.06427990235965,49.55248169243287,49.38974776240846,51.912123677786816,Profitability
Ratio Average Profit/Loss,1.0280138689120073,0.9825029540922124,0.9898930576268704,0.9880821331506032,1.0037808072367282,0.9300879555355636,0.913974580883085,1.02163345052159,1.0135966956469329,1.046742718859736,0.949378573900968,Ratio Average Profit/Loss
Skewness,-0.0697332519391715,-0.2710760131615753,-0.2872914267470483,-0.1951137865393819,-0.1211031350707681,-0.0958307232740729,-0.316727912062624,-0.1428976332124448,0.0392000688574884,-0.1069201631070838,-0.2593863002460395,Skewness
