,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),-24898,577679,21246,303,43864,41428,135188,1521,-3679,75072,143813
1,Annualized Return,-10.08%,25.31%,10.34%,-100.00%,15.93%,14.37%,31.83%,6.46%,1.23%,12.06%,17.08%
2,Annualized Volatility,30.15%,31.38%,24.58%,118.42%,29.23%,27.65%,35.37%,36.16%,23.73%,19.10%,17.89%
3,Sharpe Ratio,-0.307,0.974,0.455,-1.489,0.615,0.579,1.139,0.186,0.052,0.692,1.086
4,Sortino Ratio,-0.425,1.437,0.570,-0.612,1.090,0.839,1.885,0.294,0.074,0.896,1.633
5,Maximum DrawDown,52.02%,28.53%,19.92%,-29.15%,44.56%,42.55%,45.89%,51.03%,41.57%,17.85%,17.67%
6,Maximum DrawDown Duration,438 days,114 days,117 days,16 days,335 days,229 days,100 days,321 days,293 days,118 days,43 days
7,Profitability,50.00%,100.00%,100.00%,100.00%,44.59%,66.67%,42.86%,100.00%,43.48%,66.67%,100.00%
8,Ratio Average Profit/Loss,0.796,inf,inf,inf,1.556,2.561,7.484,inf,1.229,21.706,inf
9,Skewness,-0.129,0.045,-0.863,-13.148,0.932,-0.166,0.297,0.493,-0.214,-0.434,-0.006
