,Performance Indicator,Google,Apple,IBM,Baidu,JPMorgan Chase,BlackRock,ExxonMobil,Volkswagen,Toyota,Coca Cola,McDonalds
0,Profit & Loss (P&L),470326,-2173937,-107892,-9950713,65514,-47732,-111488,-384640,-611311,107024,45736
1,Annualized Return,12.22%,-100.00%,-4.12%,-0.48%,5.83%,0.74%,-3.42%,4.96%,-28.47%,13.68%,6.44%
2,Annualized Volatility,30.64%,98.76%,26.78%,46.11%,29.41%,31.08%,32.99%,36.21%,22.31%,20.69%,23.58%
3,Sharpe Ratio,0.504,-0.244,-0.142,-0.010,0.221,0.024,-0.097,0.149,-0.744,0.858,0.309
4,Sortino Ratio,0.700,-0.302,-0.188,-0.014,0.307,0.035,-0.149,0.190,-0.993,1.252,0.337
5,Maximum DrawDown,39.61%,98.99%,50.64%,81.95%,36.33%,51.67%,72.23%,58.94%,66.90%,25.03%,49.08%
6,Maximum DrawDown Duration,239 days,450 days,1065 days,323 days,582 days,643 days,677 days,125 days,760 days,98 days,156 days
7,Profitability,51.52%,52.94%,36.71%,46.15%,49.37%,38.24%,36.56%,46.97%,42.76%,56.52%,48.89%
8,Ratio Average Profit/Loss,1.319,0.487,1.373,1.059,1.092,1.520,1.248,1.103,0.841,1.753,1.282
9,Skewness,0.186,0.145,0.010,-0.495,0.120,0.377,0.344,-0.733,-0.338,0.361,-2.293
